Wall time,Step,Value
1584635743.2023807,0,0.7505972385406494
1584636616.1271384,1,0.8222222328186035
1584637463.0406306,2,0.8457152843475342
1584638441.079992,3,0.8659305572509766
1584639461.6392767,4,0.8823472261428833
1584640412.1077182,5,0.893916666507721
1584641285.0587313,6,0.9024097323417664
1584642171.5363777,7,0.909583330154419
1584643113.5639358,8,0.9162361025810242
1584644007.0912528,9,0.9211388826370239
1584644898.6367035,10,0.9265139102935791
1584645864.9500744,11,0.9307777881622314
1584646814.5356982,12,0.9338263869285583
1584647784.3131983,13,0.9375625252723694
