Wall time,Step,Value
1584709866.0956898,0,0.48721444606781006
1584711753.6472309,1,0.3923839330673218
1584713664.1687486,2,0.34393399953842163
1584715579.1729043,3,0.30793270468711853
1584717483.711222,4,0.2745659649372101
1584719427.616315,5,0.2513478100299835
1584721399.0890357,6,0.23387157917022705
1584723359.4270108,7,0.21921010315418243
1584725237.412733,8,0.20692920684814453
1584727129.4765604,9,0.19505047798156738
1584728980.4539552,10,0.1849966049194336
1584730845.9814541,11,0.1754964292049408
1584732696.568656,12,0.16697457432746887
